index,roll,pitch,yaw,roll_dts,pitch_dts,yaw_dts,cycle,epoch_time
-1,0,0,0,-0.000245,0.000755,0.003368,1,1539279209.18836
0,0,0,0,0.000736,-0.000549,0.002796,1,1539279211.699132
1,0.13962634015954636,0,0,0.139654,-0.00103,0.002224,1,1539279214.208174
2,-0.13962634015954636,0,0,-0.139653,-0.001441,0.001461,1,1539279216.716884
3,0,0,0,0.0,-0.001647,0.001271,1,1539279219.224952
4,0.5235987755982988,0,0,0.523271,-0.003638,0.002986,1,1539279221.734239
5,-0.5235987755982988,0,0,-0.523517,0.001236,0.003431,1,1539279224.242809
6,0,0,0,0.0,0.001167,0.003495,1,1539279226.750367
7,5.410520681182422,0,0,5.41041,6.9e-05,0.001207,1,1539279229.258729
8,-5.410520681182422,0,0,-5.41041,0.001785,0.003812,1,1539279231.766775
9,0,0,0,0.0,0.001716,0.002859,1,1539279234.275795
10,0,0,0.13962634015954636,0.0,-0.005011,0.119641,1,1539279236.783581
11,0,0,-0.13962634015954636,0.0,0.010777,-0.119387,1,1539279239.291835
12,0,0,0,0.0,-0.001441,-0.018108,1,1539279241.801025
13,0,0,0.5235987755982988,0.0,-0.007001,0.503853,1,1539279244.311024
14,0,0,-0.5235987755982988,0.0,0.011189,-0.498834,1,1539279246.820789
15,0,0,0,0.0,-0.006658,-0.016837,1,1539279249.330863
16,0,0,0.8726646259971648,0.0,-0.005285,0.846257,1,1539279251.83965
17,0,0,-0.8726646259971648,0.0,0.011669,-0.852928,1,1539279254.348677
18,0,0,0,0.0,-0.006658,-0.017219,1,1539279256.858179
19,0,0.13962634015954636,0,0.0,0.117994,-0.012136,1,1539279259.368001
20,0,-0.13962634015954636,0,0.0,-0.117307,-0.00197,1,1539279261.877242
21,0,0,0,0.0,-0.009129,-0.007053,1,1539279264.386375
22,0,0.5235987755982988,0,0.0,0.508149,-0.011373,1,1539279266.895342
23,0,-0.5235987755982988,0,0.0,-0.496686,0.008387,1,1539279269.403734
24,0,0,0,0.0,-0.014277,-0.005083,1,1539279271.912563
25,0,0.8726646259971648,0,0.0,0.860552,-0.010865,1,1539279274.421323
26,0,-0.8726646259971648,0,0.0,-0.847991,0.005718,1,1539279276.931485
27,0,0,0,0.0,-0.012561,-0.009467,1,1539279279.439867
28,0.13962634015954636,0.8726646259971648,0.8726646259971648,0.139654,0.857807,0.842572,1,1539279281.947662
29,-0.13962634015954636,-0.8726646259971648,-0.8726646259971648,-0.139653,-0.865631,-0.855533,1,1539279284.456567
30,0,0,0,0.0,-0.008511,-0.017282,1,1539279286.964481
31,0.5235987755982988,0.8726646259971648,0.8726646259971648,0.523762,0.859454,0.842064,1,1539279289.472986
32,-0.5235987755982988,-0.8726646259971648,-0.8726646259971648,-0.523762,-0.859729,-0.850069,1,1539279291.981605
33,0,0,0,0.0,-0.008031,-0.017092,1,1539279294.489088
34,5.410520681182422,0.8726646259971648,0.8726646259971648,5.41041,0.855267,0.854072,1,1539279296.996916
35,-5.410520681182422,-0.8726646259971648,-0.8726646259971648,-5.41041,-0.860827,-0.853119,1,1539279299.506588
