index,roll,pitch,yaw,jaw,roll_dts,pitch_dts,yaw_dts,jaw_dts,cycle,epoch_time
-1,0,0,0,0,0.0,0.000892,0.003368,-0.000572,0,1539279319.349471
0,0,0,0,2.5,0.0,0.00199,0.003368,0.03323,1,1539279322.36317
1,0,0,0,12.5,0.0,0.004668,0.000381,0.200271,1,1539279323.869127
2,0,0,0,12.0,0.0,0.006452,-0.003177,0.197348,1,1539279325.37509
3,0,0,0,11.5,0.0,0.00858,-0.005655,0.194616,1,1539279326.88293
4,0,0,0,11.0,0.0,0.0116,-0.008704,0.189787,1,1539279328.388506
5,0,0,0,10.5,0.0,0.013179,-0.010547,0.181209,1,1539279329.894371
6,0,0,0,10.0,0.0,0.013522,-0.010992,0.172885,1,1539279331.400593
7,0,0,0,9.5,0.0,0.013316,-0.010801,0.170662,1,1539279332.906451
8,0,0,0,9.0,0.0,0.014277,-0.010039,0.167739,1,1539279334.412945
9,0,0,0,8.5,0.0,0.010845,-0.007624,0.162148,1,1539279335.920303
10,0,0,0,8.0,0.0,0.012081,-0.009912,0.148551,1,1539279337.42786
11,0,0,0,7.5,0.0,0.013522,-0.008959,0.139338,1,1539279338.935032
12,0,0,0,7.0,0.0,0.011532,-0.007243,0.136097,1,1539279340.443018
13,0,0,0,6.5,0.0,0.012698,-0.011119,0.127266,1,1539279341.950541
14,0,0,0,6.0,0.0,0.013454,-0.010547,0.119578,1,1539279343.458076
15,0,0,0,5.5,0.0,0.011806,-0.007116,0.10903,1,1539279344.964451
16,0,0,0,5.0,0.0,0.010571,-0.006735,0.104329,1,1539279346.471345
17,0,0,0,4.5,0.0,0.010228,-0.006671,0.091303,1,1539279347.977522
18,0,0,0,4.0,0.0,0.00961,-0.007497,0.084759,1,1539279349.483341
19,0,0,0,3.5,0.0,0.009404,-0.00718,0.071352,1,1539279350.989474
20,0,0,0,3.0,0.0,0.008512,-0.007751,0.068875,1,1539279352.494763
21,0,0,0,2.5,0.0,0.007139,-0.008641,0.05388,1,1539279354.000408
22,0,0,0,2.0,0.0,0.005148,-0.009848,0.047971,1,1539279355.506316
23,0,0,0,1.5,0.0,0.007551,-0.013597,0.042189,1,1539279357.011524
24,0,0,0,1.0,0.0,0.005766,-0.010293,0.031006,1,1539279358.518649
25,0,0,0,0.5,0.0,0.002128,-0.011754,0.024716,1,1539279360.023908
26,0,0,0,0.0,0.0,0.000961,-0.013724,0.015376,1,1539279361.529241
27,5.410520681182422,0,0,2.5,5.41041,0.000824,-0.00432,0.042316,2,1539279364.542752
28,5.410520681182422,0,0,12.5,5.41041,0.001922,-0.007116,0.202939,2,1539279366.04765
29,5.410520681182422,0,0,12.0,5.41041,0.001373,-0.006989,0.201541,2,1539279367.553588
30,5.410520681182422,0,0,11.5,5.41041,0.003706,-0.009403,0.197347,2,1539279369.059451
31,5.410520681182422,0,0,11.0,5.41041,0.005491,-0.009657,0.189469,2,1539279370.565553
32,5.410520681182422,0,0,10.5,5.41041,0.006658,-0.009086,0.1814,2,1539279372.071646
33,5.410520681182422,0,0,10.0,5.41041,0.009404,-0.011119,0.175808,2,1539279373.578462
34,5.410520681182422,0,0,9.5,5.41041,0.010502,-0.011119,0.168311,2,1539279375.084704
35,5.410520681182422,0,0,9.0,5.41041,0.009541,-0.012135,0.163863,2,1539279376.5919
36,5.410520681182422,0,0,8.5,5.41041,0.009404,-0.012771,0.156493,2,1539279378.099045
37,5.410520681182422,0,0,8.0,5.41041,0.012973,-0.010229,0.149504,2,1539279379.605071
38,5.410520681182422,0,0,7.5,5.41041,0.013797,-0.010102,0.148106,2,1539279381.113283
39,5.410520681182422,0,0,7.0,5.41041,0.015376,-0.009276,0.131904,2,1539279382.619075
40,5.410520681182422,0,0,6.5,5.41041,0.017984,-0.006354,0.126821,2,1539279384.124913
41,5.410520681182422,0,0,6.0,5.41041,0.020043,-0.010801,0.116146,2,1539279385.630597
42,5.410520681182422,0,0,5.5,5.41041,0.019769,-0.007497,0.108649,2,1539279387.136546
43,5.410520681182422,0,0,5.0,5.41041,0.019425,-0.005909,0.098292,2,1539279388.643663
44,5.410520681182422,0,0,4.5,5.41041,0.018464,-0.004892,0.095878,2,1539279390.14941
45,5.410520681182422,0,0,4.0,5.41041,0.018876,-0.006036,0.080248,2,1539279391.655889
46,5.410520681182422,0,0,3.5,5.41041,0.018876,-0.006036,0.078088,2,1539279393.161665
47,5.410520681182422,0,0,3.0,5.41041,0.019906,-0.004956,0.063156,2,1539279394.66888
48,5.410520681182422,0,0,2.5,5.41041,0.019631,-0.004448,0.060742,2,1539279396.175746
49,5.410520681182422,0,0,2.0,5.41041,0.021141,-0.00432,0.04562,2,1539279397.68152
50,5.410520681182422,0,0,1.5,5.41041,0.020455,-0.004447,0.042951,2,1539279399.187151
51,5.410520681182422,0,0,1.0,5.41041,0.021553,-0.003431,0.028084,2,1539279400.694198
52,5.410520681182422,0,0,0.5,5.41041,0.021416,-0.003685,0.025415,2,1539279402.20126
53,5.410520681182422,0,0,0.0,5.41041,0.02224,-0.002542,0.017664,2,1539279403.707505
54,-5.410520681182422,0,0,2.5,-5.41041,0.00707,-0.005782,0.033611,3,1539279406.719823
55,-5.410520681182422,0,0,12.5,-5.410165,0.010982,-0.00826,0.201541,3,1539279408.226696
56,-5.410520681182422,0,0,12.0,-5.410165,0.01263,-0.009912,0.203828,3,1539279409.733826
57,-5.410520681182422,0,0,11.5,-5.410165,0.013454,-0.010928,0.197983,3,1539279411.240812
